day_falling,code_imp_1,code_imp_3,code_imp_5,code_imp_6,code_imp_8,code_imp_12,code_imp_13,code_imp_14,code_imp_15,code_imp_16,code_imp_17,code_imp_19,code_imp_20,code_imp_22,code_imp_29,code_imp_30,code_imp_33,code_imp_36,code_imp_39,code_imp_41,code_imp_42,code_imp_43,code_imp_44,code_imp_45,code_imp_48,code_imp_49,code_imp_50,code_imp_51,code_imp_53,code_imp_55,code_imp_57,code_imp_58,code_imp_63,code_imp_66,code_imp_67,code_imp_68,code_imp_69,code_imp_75,code_imp_77,code_imp_78,code_imp_81,code_imp_82,code_imp_84,code_imp_87,code_imp_88,code_imp_90,code_imp_94,code_imp_95,code_imp_97
5,3,1,3,2,1,3,3,1,1,1,3,2,3,3,1,2,2,2,1,3,3,3,3,2,2,1,1,1,3,3,3,3,3,1,2,1,1,1,1,1,3,1,3,3,1,3,3,2,2
15,3,1,3,2,1,3,3,2,1,2,3,1,3,3,1,2,2,1,1,3,2,3,3,2,2,2,1,1,3,2,3,3,3,1,1,3,2,1,1,1,3,1,3,3,1,3,3,2,2
15,3,1,2,2,1,3,3,2,2,1,2,1,3,3,3,3,1,2,1,3,3,3,3,2,2,2,1,1,3,3,2,2,3,1,2,2,1,1,1,1,3,1,3,3,1,2,2,3,3
15,3,1,3,3,1,2,3,3,1,1,2,1,3,3,1,3,2,1,1,3,3,3,3,3,2,2,1,1,3,3,3,2,2,1,1,3,1,1,1,2,2,2,2,2,2,3,2,3,3
15,3,1,2,2,1,3,3,3,2,1,3,1,3,3,3,3,3,2,1,3,3,3,3,3,1,2,2,1,2,3,3,1,3,1,1,2,1,1,2,1,3,1,3,2,2,3,2,3,2
15,3,1,3,3,1,3,2,2,1,2,2,2,3,3,2,3,1,3,1,3,3,3,3,3,2,1,1,1,3,2,2,2,3,1,1,2,1,1,1,2,3,1,2,3,2,3,1,3,2
16,3,1,3,3,1,2,3,3,2,1,1,1,3,3,2,2,1,3,1,3,3,3,3,1,1,1,1,1,3,3,3,3,2,1,2,2,1,1,1,1,2,1,2,2,1,3,1,3,2
16,3,1,3,3,1,3,3,3,1,1,2,1,3,3,2,3,2,2,1,3,3,3,3,2,3,1,1,1,3,3,3,2,3,1,2,3,2,1,2,2,2,1,2,3,1,3,3,3,3
16,2,1,3,2,1,2,3,1,2,1,2,1,3,3,1,2,2,1,1,3,3,3,3,2,2,2,2,1,3,3,3,3,2,1,2,1,1,1,1,1,3,1,2,3,1,3,2,3,3
18,3,1,3,2,1,2,3,3,2,1,2,1,2,3,2,3,2,2,1,3,2,3,3,2,2,2,2,1,2,3,1,1,3,1,2,2,2,1,1,1,3,1,3,3,1,3,1,3,2
18,3,1,3,2,1,2,3,3,2,3,3,2,3,3,2,1,3,1,1,3,1,3,3,3,1,2,1,1,3,2,2,2,3,1,2,1,1,1,1,1,3,1,3,3,3,3,2,3,1
18,2,1,3,3,1,3,3,2,1,1,3,1,3,3,3,3,2,1,1,3,3,3,3,3,1,1,1,1,3,3,3,2,2,1,2,1,3,1,1,3,2,1,3,2,1,3,1,3,1
18,3,1,3,2,2,3,3,3,1,2,2,1,3,3,3,3,2,1,1,3,3,3,3,3,1,2,1,1,3,3,2,2,2,1,1,2,2,1,1,1,2,1,3,3,1,3,2,3,2
18,3,1,3,3,1,3,3,3,1,2,2,1,3,3,1,2,2,2,1,3,3,3,3,2,1,1,1,2,2,2,3,3,3,2,2,2,2,1,1,1,2,1,3,2,1,3,3,3,2
18,3,1,3,2,1,2,3,2,1,1,1,1,3,3,2,2,3,1,1,3,3,3,3,3,2,1,1,2,2,3,2,3,2,1,1,2,1,1,1,2,2,2,2,3,3,3,3,3,2
18,2,1,3,2,1,3,3,2,1,1,3,1,2,3,2,2,2,1,1,3,2,2,3,2,1,2,1,1,2,3,2,2,3,1,3,2,2,1,1,1,2,1,3,1,1,3,3,3,3
18,3,1,3,2,1,3,3,1,2,1,2,1,2,3,3,3,2,3,1,3,3,3,3,2,1,2,1,1,3,2,3,2,3,1,1,1,2,1,1,1,2,1,3,2,1,3,1,3,1
18,3,1,3,3,1,2,2,2,1,2,2,1,3,2,2,3,2,2,1,3,3,3,3,3,2,2,1,1,3,3,2,3,2,1,3,1,2,1,1,1,3,1,3,2,2,3,3,3,3
18,3,1,3,3,1,3,3,2,1,1,2,1,3,3,1,3,2,1,1,3,3,3,3,3,2,3,1,1,2,3,1,3,3,1,1,1,2,1,1,1,2,1,3,3,1,3,2,2,3
19,3,1,3,3,1,2,3,2,2,1,2,2,3,3,2,2,3,2,1,3,3,1,3,2,2,2,1,1,3,3,2,3,2,1,2,2,3,1,1,2,3,1,3,3,1,3,3,3,3
19,3,1,3,2,1,2,2,3,1,1,2,1,3,3,3,2,2,1,1,3,3,3,3,2,2,3,1,1,3,3,2,3,3,1,1,2,1,1,2,2,3,1,3,3,1,3,2,3,2
19,3,1,3,3,1,3,3,3,2,1,2,1,3,3,1,1,1,1,2,3,2,3,3,1,2,2,2,1,3,1,1,2,3,1,3,2,2,1,1,1,3,2,3,3,1,3,3,3,2
19,3,1,2,2,1,3,3,2,1,1,2,1,3,3,2,2,3,2,1,3,3,3,3,3,2,2,1,1,3,3,2,3,2,1,1,1,1,1,1,2,3,1,3,2,1,3,2,3,2
20,2,1,3,3,1,2,3,3,1,1,2,1,3,3,2,3,2,2,1,3,2,3,3,2,1,2,1,1,3,2,2,1,3,1,1,1,2,1,1,2,2,1,3,3,1,3,3,3,1
20,3,1,3,2,1,3,3,1,1,2,2,1,3,2,2,2,1,1,1,3,3,3,3,1,2,1,1,1,2,3,2,2,3,1,1,1,3,1,1,1,3,1,3,3,1,3,3,3,2
20,3,1,3,3,1,3,3,3,1,2,2,1,3,3,2,1,3,1,1,3,2,3,3,1,3,3,1,1,3,3,1,2,2,1,1,2,1,1,1,1,3,1,3,3,1,3,3,3,2
20,3,1,3,2,1,3,3,2,1,1,3,1,3,3,3,3,2,2,1,3,3,3,3,3,2,2,1,1,3,3,2,2,3,1,1,2,2,1,1,2,3,1,3,3,1,3,2,3,2
20,3,1,3,3,1,2,3,3,2,3,3,1,3,3,3,2,3,1,1,3,3,3,3,2,1,2,1,1,2,3,1,2,3,1,3,2,3,2,1,1,3,1,3,2,1,3,3,3,2
20,3,1,3,2,2,2,3,3,3,1,3,2,2,2,3,2,3,3,1,3,3,3,3,2,3,1,1,1,3,3,2,3,3,1,1,2,1,1,1,1,2,1,1,3,3,3,2,2,2
21,3,1,3,3,2,1,3,2,1,1,3,1,3,3,2,2,2,2,2,3,3,3,3,3,2,1,2,1,2,2,2,2,3,1,1,1,3,1,1,1,2,1,3,3,2,3,3,3,3
21,3,1,3,3,1,3,2,3,1,2,2,1,3,3,3,2,1,1,1,3,3,3,3,3,3,2,1,1,3,3,2,1,3,1,1,3,2,1,3,1,3,1,3,2,2,3,2,3,2
21,2,1,3,2,1,3,3,3,2,2,2,1,3,3,1,2,2,1,1,3,3,3,3,2,2,2,2,1,3,3,2,2,3,1,1,2,2,1,1,1,3,1,3,3,2,3,2,3,2
21,3,1,3,3,1,3,3,2,1,1,2,1,3,3,1,2,2,1,1,3,3,3,3,3,1,2,1,1,3,3,1,2,3,1,2,3,1,1,1,1,2,2,2,3,1,3,2,3,1
21,3,1,3,2,2,3,3,1,1,1,2,1,2,3,2,3,1,3,1,3,3,3,3,2,3,2,1,1,3,3,2,1,3,1,1,1,2,1,1,1,3,1,3,3,2,3,2,3,2
21,3,1,3,2,1,3,3,3,1,2,1,1,3,2,3,3,3,2,1,3,3,3,3,1,2,1,1,2,3,3,3,2,3,1,2,1,1,1,1,2,3,2,3,3,1,3,3,3,2
21,3,1,3,3,1,3,3,1,1,1,2,1,3,3,1,3,3,3,1,3,3,3,3,3,2,1,1,1,3,1,3,1,3,1,1,2,2,1,2,2,3,2,3,3,1,3,2,3,2
21,3,1,3,2,1,2,3,3,2,1,2,1,3,3,3,1,3,1,1,3,3,3,3,3,2,1,1,1,3,1,2,1,2,1,1,3,3,2,1,1,3,1,3,3,1,3,2,3,3
21,3,1,3,2,1,2,3,2,1,1,3,2,2,3,3,2,3,2,1,3,3,3,3,3,3,2,1,1,3,3,1,2,3,1,2,2,1,1,1,2,2,1,3,3,1,3,2,3,2
21,3,1,3,2,1,3,2,3,2,2,2,1,3,3,2,2,2,1,1,3,2,3,3,2,3,2,2,1,1,3,2,2,2,1,1,3,1,1,1,1,2,1,3,2,2,3,1,3,2
21,3,1,3,1,1,3,3,3,1,1,2,1,3,3,3,3,2,2,1,3,2,3,3,2,2,2,1,1,3,3,2,3,3,1,1,2,1,1,1,1,3,2,3,3,2,3,2,3,2
21,3,1,3,3,1,2,3,3,1,1,3,1,3,3,2,3,2,3,1,3,1,3,3,3,2,2,1,1,3,3,3,3,3,1,2,2,2,1,2,3,3,1,3,2,1,3,3,3,2
21,3,1,3,2,1,3,3,1,1,1,3,1,3,3,2,2,3,1,1,3,3,2,3,3,2,2,1,1,3,3,2,3,3,1,1,3,2,1,1,1,2,1,3,3,1,3,3,3,3
21,3,1,3,2,1,3,2,2,2,2,2,2,3,3,3,2,1,2,1,3,3,3,3,3,3,2,1,1,2,3,1,2,3,1,2,1,1,1,1,1,3,1,3,3,1,3,3,3,3
21,3,1,3,3,1,3,3,3,1,1,3,1,3,3,3,2,3,3,1,3,2,3,2,1,2,2,1,1,3,3,3,3,2,1,1,1,2,1,1,2,3,3,2,3,1,3,3,3,2
21,3,1,3,3,2,2,3,3,1,1,3,1,3,3,3,2,1,2,1,3,2,3,3,3,2,2,1,1,2,3,1,2,2,1,1,3,2,1,1,1,3,1,3,3,2,3,2,3,3
21,3,1,3,2,1,3,3,2,2,1,2,1,3,3,1,2,1,1,1,3,2,3,3,3,1,1,1,1,3,3,2,2,3,1,1,2,2,1,1,1,2,1,3,3,1,3,2,3,3
21,3,1,3,2,2,2,3,3,1,1,1,1,3,3,2,3,2,3,2,3,3,3,3,2,2,1,1,1,3,2,1,3,2,1,2,2,2,1,1,1,3,1,3,2,2,3,3,2,1
21,3,1,3,1,1,1,3,2,1,1,3,1,3,3,2,2,2,1,1,3,3,3,3,2,2,1,2,1,2,3,2,2,2,1,2,1,1,1,1,2,2,2,3,3,1,3,3,3,3
21,3,1,3,2,1,2,3,2,2,2,3,1,3,3,3,1,1,3,2,3,3,3,2,3,1,2,1,1,3,2,1,3,3,1,2,1,3,1,1,2,2,2,2,2,1,3,2,3,2
21,3,1,3,2,2,3,3,2,1,1,2,1,3,3,2,3,3,1,1,3,3,3,3,3,1,3,1,1,2,2,3,2,3,1,1,2,3,1,3,1,3,2,3,2,1,3,2,3,3
23,3,1,3,3,1,2,3,2,1,3,3,1,3,2,2,3,2,1,1,3,3,3,2,2,2,1,1,1,3,3,3,2,2,1,1,3,1,1,1,1,3,1,3,2,1,3,2,3,3
23,2,1,3,3,1,3,3,2,2,2,2,1,3,3,2,2,3,1,2,3,3,3,3,2,1,3,1,1,3,3,3,2,3,1,1,2,3,1,1,1,3,1,3,3,1,3,1,3,2
23,3,1,3,2,1,2,3,3,2,2,3,1,2,3,2,3,2,2,2,3,3,3,3,3,2,2,1,1,3,3,2,2,3,1,1,3,3,1,1,1,3,1,3,3,1,3,2,3,1
23,2,1,3,2,1,2,2,2,1,2,2,1,2,3,2,2,3,1,1,3,3,3,3,3,3,2,1,1,3,3,3,2,2,1,3,2,2,1,1,1,3,1,3,3,1,3,3,3,2
23,3,1,3,2,1,3,3,3,1,2,1,1,3,3,3,2,2,3,1,3,3,3,3,2,1,2,1,1,3,3,3,3,3,1,1,3,1,1,1,2,3,1,2,3,1,3,2,3,2
23,2,1,3,2,1,1,3,3,1,2,2,1,3,3,2,3,3,2,1,3,3,3,3,2,2,1,1,1,2,3,1,2,3,1,2,2,3,1,1,2,3,1,3,3,1,3,2,3,2
23,2,1,3,3,2,3,3,3,1,1,2,1,3,3,3,3,3,2,1,3,1,3,2,2,2,3,1,1,3,2,2,3,2,1,1,2,1,2,1,1,3,2,3,2,1,3,2,3,2
23,3,1,3,1,3,3,3,3,2,1,2,1,2,3,2,2,2,2,1,3,3,3,3,3,3,2,1,1,3,3,3,2,2,1,2,2,2,1,2,1,2,1,3,3,1,2,2,3,1
23,3,1,3,2,1,2,3,3,1,3,3,1,3,3,2,2,3,1,1,3,3,3,3,3,1,2,1,1,3,3,3,2,2,1,1,2,1,1,1,1,3,1,2,2,1,3,2,3,2
23,2,1,3,2,1,3,3,2,1,1,3,1,3,3,3,3,3,2,1,3,3,3,3,2,1,1,2,1,3,2,1,2,3,1,1,1,1,1,1,1,2,2,2,3,1,3,2,3,2
23,3,1,3,2,1,1,2,1,2,3,2,1,3,3,3,3,2,1,1,3,3,3,3,3,1,2,1,1,3,3,2,2,2,1,2,1,3,1,1,2,3,2,3,2,1,3,2,3,2
23,3,1,3,3,1,2,3,3,1,2,3,1,2,3,2,3,3,1,2,3,2,3,3,3,1,2,1,1,2,2,1,1,2,1,2,2,2,1,1,2,3,2,3,3,1,3,2,3,3
23,3,1,3,3,2,1,2,2,1,3,2,1,3,3,2,2,3,1,1,2,3,3,3,2,2,1,1,1,1,2,2,2,3,1,1,3,1,1,1,1,2,1,3,3,1,3,2,3,2
23,3,1,3,2,1,3,3,3,1,2,3,1,3,3,2,3,2,2,1,3,3,3,3,3,2,1,1,1,3,3,1,3,3,1,3,2,1,1,1,1,3,2,3,2,1,3,2,3,3
23,3,1,3,2,1,3,3,2,1,2,2,1,3,3,3,3,2,2,2,3,2,3,3,2,3,2,1,1,3,3,3,1,2,1,1,2,2,1,2,1,3,2,3,3,1,3,3,3,2
23,3,1,3,3,1,2,3,3,1,1,3,1,3,3,3,2,2,2,1,3,3,3,3,2,2,1,1,1,3,3,1,1,2,1,1,1,3,1,1,1,2,1,3,3,2,3,3,2,2
23,2,1,3,1,1,3,3,3,1,1,1,1,3,3,2,1,3,1,1,3,3,3,3,3,1,1,1,1,3,3,2,2,2,1,1,3,2,1,1,1,2,1,3,2,1,3,3,2,1
23,3,1,3,3,1,2,3,3,1,1,2,2,3,3,2,2,2,1,1,3,3,3,3,2,3,3,1,1,3,3,1,3,3,1,2,2,3,1,1,1,3,2,3,2,1,3,3,2,2
23,3,1,3,1,1,2,3,1,1,1,2,1,3,3,2,1,3,1,1,3,3,3,3,3,1,2,1,1,3,3,3,3,3,1,1,1,1,1,2,1,3,1,3,2,1,3,3,2,2
23,3,1,3,2,1,3,3,2,1,1,2,1,3,3,2,2,3,2,1,3,3,3,3,3,2,2,1,1,2,2,2,3,2,1,1,2,2,1,2,1,3,2,3,3,2,3,2,3,3
23,2,1,3,2,1,1,3,1,2,2,2,1,3,3,1,2,2,1,1,3,3,3,3,3,1,1,2,1,2,3,1,2,3,1,1,1,1,1,1,1,3,1,3,3,2,3,3,3,2
25,3,1,3,2,1,3,3,2,1,2,3,1,3,3,1,3,2,1,1,3,2,3,3,2,2,2,2,1,3,3,3,2,2,1,1,2,3,1,1,1,2,1,3,3,1,3,3,3,2
25,3,1,3,2,1,3,2,1,1,1,1,1,3,2,1,3,2,1,2,3,3,3,3,2,2,2,2,1,3,3,2,3,3,1,3,3,3,1,1,1,3,2,3,3,1,3,3,3,2
25,3,1,3,2,1,3,3,2,1,1,2,1,3,3,2,2,1,2,3,3,2,3,3,3,2,3,1,1,2,3,2,3,3,2,1,3,1,1,1,2,3,1,3,3,1,3,3,3,2
25,3,1,3,2,2,2,3,3,1,1,3,1,3,3,1,2,3,3,1,3,3,3,3,3,1,2,3,1,2,3,2,2,2,1,3,2,1,1,2,2,3,1,2,3,1,3,3,3,2
25,2,1,3,3,1,3,3,3,1,2,2,1,3,3,3,2,2,3,1,3,2,3,3,2,1,2,2,1,2,3,2,3,2,1,1,2,2,1,1,1,2,1,3,3,2,3,2,3,1
25,3,1,3,3,1,1,3,2,1,3,2,2,2,3,1,2,3,2,2,3,3,3,3,3,2,1,1,1,3,2,1,3,3,1,1,2,1,1,1,1,2,1,2,3,1,3,3,3,3
25,3,1,3,2,1,2,3,3,1,2,3,1,3,3,3,2,3,2,1,3,3,3,3,1,1,2,1,1,3,3,3,2,3,1,1,2,3,1,1,1,3,2,3,3,1,3,2,3,2
25,3,1,3,2,1,2,3,3,1,2,2,1,3,3,2,3,1,2,1,3,3,3,3,3,1,1,1,1,3,3,1,2,3,1,1,3,1,1,1,1,2,1,3,2,1,3,3,3,2
25,2,1,3,3,1,3,3,3,1,2,2,3,2,3,1,3,2,1,1,3,3,3,3,3,2,2,2,1,2,3,2,2,2,1,2,1,1,1,1,1,3,1,3,3,1,3,2,3,2
25,3,1,3,2,1,3,3,3,1,1,3,1,3,3,2,3,2,3,1,3,3,3,3,3,1,2,1,1,3,3,3,2,3,1,1,1,2,1,1,2,3,1,2,3,2,3,2,2,2
25,3,1,3,3,1,3,3,3,1,1,3,1,3,3,1,2,1,2,1,3,2,3,3,2,1,2,1,2,3,3,2,1,3,1,1,2,1,1,1,1,2,1,3,3,1,3,2,2,1
26,3,1,3,3,2,2,3,3,1,2,3,1,3,3,1,2,2,1,1,3,3,3,3,3,1,2,1,1,3,3,2,3,3,1,1,2,2,1,1,2,3,2,3,2,1,3,3,2,2
26,2,1,3,3,1,2,3,2,1,1,3,1,3,3,2,1,2,2,1,3,3,3,2,2,2,2,1,1,3,2,2,3,3,1,1,2,2,1,1,1,3,1,3,3,1,3,3,2,3
26,3,1,3,2,1,3,3,2,2,1,3,1,2,3,2,3,3,2,1,3,2,3,3,2,2,3,1,1,3,3,1,3,3,1,1,2,1,1,1,1,3,1,3,3,1,3,3,3,3
26,3,1,3,3,1,3,2,2,1,2,2,3,3,3,3,2,3,2,1,3,3,3,3,3,2,1,1,1,3,3,2,2,3,1,1,2,2,1,1,2,3,2,2,3,1,3,2,3,2
26,3,1,3,3,1,2,3,3,1,1,3,2,3,3,2,2,2,2,1,3,1,3,3,2,2,2,1,1,3,3,2,2,3,1,1,1,2,1,1,2,2,2,3,2,1,3,2,3,2
26,2,1,3,2,1,2,3,3,1,2,3,1,3,3,1,2,2,1,1,3,3,3,3,3,2,2,1,1,2,3,2,2,3,1,2,1,2,1,1,2,2,1,1,3,1,3,2,3,2
26,3,1,3,3,1,2,3,1,1,1,3,1,2,3,2,3,3,1,1,3,3,3,3,3,3,1,1,1,3,3,2,3,3,1,2,2,2,1,1,1,3,1,2,2,1,3,3,3,2
26,2,1,3,3,1,3,2,3,2,2,2,1,3,3,3,1,3,1,1,3,2,2,3,3,1,2,1,1,3,2,1,2,3,1,2,2,1,3,1,2,3,1,3,3,1,3,2,3,1
26,3,1,3,3,1,3,2,3,2,2,3,1,3,2,3,2,2,2,1,3,1,3,3,2,1,2,1,1,3,3,3,2,3,1,1,2,2,1,1,1,2,1,3,2,2,3,3,2,3
26,3,2,3,2,2,2,3,3,1,2,3,1,3,3,1,2,3,2,1,3,3,3,3,3,1,2,1,1,3,3,2,3,3,2,2,3,2,1,1,1,2,1,3,3,1,3,2,2,2
